District,Month,Visitors
Nagarkurnool ,August,0
Nagarkurnool ,September,0
Nagarkurnool ,October,0
Nagarkurnool ,November,0
Nagarkurnool ,December,0
Nalgonda,January,0
Nalgonda,February,0
Nalgonda,March,0
Nalgonda,April,0
Nalgonda,May,0
Nalgonda,June,0
Nalgonda,July,0
Nalgonda,August,0
Nalgonda,September,0
Nalgonda,October,0
Nalgonda,November,0
Nalgonda,December,0
Narayanpet,January,0
Narayanpet,February,0
Narayanpet,March,0
Narayanpet,April,0
Narayanpet,May,0
Narayanpet,June,0
Narayanpet,July,0
Narayanpet,August,0
Narayanpet,September,0
Narayanpet,October,0
Narayanpet,November,0
Narayanpet,December,0
Nirmal,January,0
Nirmal,February,0
Nirmal,March,0
Nirmal,April,0
Nirmal,May,0
Nirmal,June,0
Nirmal,July,0
Nirmal,August,0
Nirmal,September,0
Nirmal,October,0
Nirmal,November,0
Nirmal,December,0
Nizamabad,January,0
Nizamabad,February,0
Nizamabad,March,0
Nizamabad,April,0
Nizamabad,May,0
Nizamabad,June,0
Nizamabad,July,0
Nizamabad,August,0
Nizamabad,September,0
Nizamabad,October,0
Nizamabad,November,0
Nizamabad,December,0
Peddapalli,January,0
Peddapalli,February,0
Peddapalli,March,0
Peddapalli,April,0
Peddapalli,May,0
Peddapalli,June,0
Peddapalli,July,0
Peddapalli,August,0
Peddapalli,September,0
Peddapalli,October,0
Peddapalli,November,0
Peddapalli,December,0
Rajanna Sircilla ,January,0
Rajanna Sircilla ,February,0
Rajanna Sircilla ,March,0
Rajanna Sircilla ,April,0
Rajanna Sircilla ,May,0
Rajanna Sircilla ,June,0
Rajanna Sircilla ,July,0
Rajanna Sircilla ,August,0
Rajanna Sircilla ,September,0
Rajanna Sircilla ,October,0
Rajanna Sircilla ,November,0
Rajanna Sircilla ,December,0
Ranga Reddy,January,
Ranga Reddy,February,
Ranga Reddy,March,
Ranga Reddy,April,
Ranga Reddy,May,
Ranga Reddy,June,
Ranga Reddy,July,
Ranga Reddy,August,
Ranga Reddy,September,
Ranga Reddy,October,
Ranga Reddy,November,
Ranga Reddy,December,
Sangareddy ,January,0
Sangareddy ,February,0
Sangareddy ,March,0
Sangareddy ,April,0
Sangareddy ,May,0
Sangareddy ,June,0
Sangareddy ,July,0
Sangareddy ,August,0
Sangareddy ,September,0
Sangareddy ,October,0
Sangareddy ,November,0
Sangareddy ,December,0
Siddipet,January,0
Siddipet,February,0
Siddipet,March,0
Siddipet,April,0
Siddipet,May,0
Siddipet,June,0
Siddipet,July,0
Siddipet,August,0
Siddipet,September,0
Siddipet,October,0
Siddipet,November,0
Siddipet,December,0
Suryapet,January,0
Suryapet,February,0
Suryapet,March,0
Suryapet,April,0
Suryapet,May,0
Suryapet,June,0
Suryapet,July,0
Suryapet,August,0
Suryapet,September,0
Suryapet,October,0
Suryapet,November,0
Suryapet,December,0
Vikarabad,January,
Vikarabad,February,
Vikarabad,March,
Vikarabad,April,
Vikarabad,May,
Vikarabad,June,
Vikarabad,July,
Vikarabad,August,
Vikarabad,September,
Vikarabad,October,
Vikarabad,November,
Vikarabad,December,
Wanaparthy ,January,0
Wanaparthy ,February,0
Wanaparthy ,March,0
Wanaparthy ,April,0
Wanaparthy ,May,0
Wanaparthy ,June,0
Wanaparthy ,July,0
Wanaparthy ,August,0
Wanaparthy ,September,0
Wanaparthy ,October,0
Wanaparthy ,November,0
Wanaparthy ,December,0
Warangal (Rural),January,0
Warangal (Rural),February,0
Warangal (Rural),March,0
Warangal (Rural),April,0
Warangal (Rural),May,0
Warangal (Rural),June,0
Warangal (Rural),July,0
Warangal (Rural),August,0
Warangal (Rural),September,0
Warangal (Rural),October,0
Warangal (Rural),November,0
Warangal (Rural),December,0
Warangal (Urban),January,225
Warangal (Urban),February,225
Warangal (Urban),March,80
Warangal (Urban),April,0
Warangal (Urban),May,0
Warangal (Urban),June,0
Warangal (Urban),July,0
Warangal (Urban),August,0
Warangal (Urban),September,0
Warangal (Urban),October,0
Warangal (Urban),November,0
Warangal (Urban),December,0
Yadadri Bhongir,January,0
Yadadri Bhongir,February,0
Yadadri Bhongir,March,0
Yadadri Bhongir,April,0
Yadadri Bhongir,May,0
Yadadri Bhongir,June,0
Yadadri Bhongir,July,0
Yadadri Bhongir,August,0
Yadadri Bhongir,September,0
Yadadri Bhongir,October,0
Yadadri Bhongir,November,0
Yadadri Bhongir,December,0
